x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
802.66,784.52,800.58,838.1,911,1013.5,1084.3,1119,1134.6,1119.7,831.63,769.83,765.42,821.45,873.17,871.27,816.88,759.33,762.9,825.13
802.56,784.59,801,837.9,910.95,1013.5,1084,1119,1134.4,1119.8,831.8,769.93,765.41,821.55,873.25,871.5,816.79,759.26,762.8,825.19
802.56,784.62,801,838.25,911.09,1013.8,1084,1119,1134.4,1119.8,831.8,770,765.41,821.4,873.09,871.5,816.79,759.26,762.8,825.06
802.56,784.5,801,838.25,911.09,1013.8,1084.1,1119,1134.5,1120,831.8,770.2,765.41,821.4,873.09,871.5,816.7,759.26,762.83,825.21
802.56,784.69,800.94,838.25,911,1013.8,1084,1119,1134.9,1120,831.8,770.13,765.48,821.4,873,871.5,816.67,759.26,762.86,825.21
802.56,784.69,800.88,837.89,911.09,1013.8,1084,1119,1134.9,1120,831.8,770.13,765.41,821.42,873.09,871.5,816.67,759.26,762.86,825.21
802.65,785,800.71,838,911,1013.6,1084.3,1119,1134.9,1119.9,831.73,770,765.5,821.33,873,871.53,816.88,759.26,762.95,825.27
802.5,784.91,800.16,837.63,911.09,1013.5,1084.6,1118.9,1135,1120.2,831.88,769.94,765.31,821.47,873.09,871.5,816.83,759.33,763,825.16
802.24,784.37,800.19,837.39,911.09,1013.6,1084.8,1119.1,1135.1,1120.2,832.04,769.73,765.45,821.22,873.09,871.53,816.82,759.24,763,825.16
801.88,783.81,799.55,837.36,911.09,1013.5,1084.9,1119.8,1135.5,1120.5,831.96,769.9,765.58,821.32,873.09,871.5,816.59,759.31,762.88,825.1
801.16,783.1,798.93,837.08,911,1013.8,1085.3,1120.6,1135.6,1120.9,832.16,770.06,765.53,821.08,873,871.25,816.56,759.3,762.91,824.94
801,782.88,798.28,836.61,911,1013.7,1085.4,1120.7,1136.1,1121.2,832,770.12,765.66,821.13,873,871.37,816.47,759.59,762.91,825.16
800.48,781.9,797.17,836.15,911,1013.9,1086,1121.3,1136.7,1121.4,832.39,770.45,765.9,821.2,872.67,871.41,816.5,759.41,763.14,825.05
800.12,781.18,796.66,835.56,911.22,1013.6,1086,1122.4,1137,1122,832.59,770.45,765.56,821.08,872.5,871,816.5,759.39,763.09,825.1
799.5,780,795.29,834.86,911.05,1013.6,1086.9,1122.7,1137.8,1122.2,832.38,770.76,765.89,821,871.9,870.6,816.19,759.34,763.12,825.16
799.13,778.63,794.57,834.5,911.16,1013.5,1086.6,1123.6,1138.7,1122.5,832.83,770.89,765.67,820.5,871.16,870,815.54,759.37,763.13,825.14
798.12,776.89,793.26,833.86,911.36,1013.8,1087.4,1124.6,1139.7,1123.1,833.41,771.25,765.65,820,870.21,869.5,815.08,759.18,763.35,824.91
797.32,775.65,791.66,832.87,911.09,1013.5,1088.4,1126.5,1140.8,1124,833.14,771.73,765.56,819.39,869.09,868.5,815.32,759.62,763.8,825.21
796.6,773.91,789.46,831.86,911.16,1013.6,1089,1127.4,1142.1,1124.2,832.96,771.94,765.93,819,868.16,867.53,814.5,759.19,763.91,825.5
795.44,771.97,787.52,830.68,911.16,1013.4,1089.8,1128.8,1143.8,1125.2,833.08,772.79,766,818.05,866.84,866.53,813.84,759.13,764.04,825.5
794.54,769.93,785,829.95,911.27,1013.9,1090.3,1130.4,1145.6,1126.1,833.19,773.07,766.38,817.1,865.05,865.28,813.35,759.08,764.39,825.6
793.44,767.1,783,828.68,911.32,1013.7,1091.3,1132.7,1147.5,1127.1,833.92,773.97,766.78,817.05,863.95,863.5,812.39,759.23,765.04,825.89
792.37,765.03,780.23,827.52,911.09,1013.5,1092.4,1134.8,1149.4,1128.4,834.53,775.03,767.12,815.62,862.09,862,811.95,759.42,765.11,826.4
791.14,762.62,777.74,826.33,911.25,1013.5,1093.3,1137,1151.6,1129,835,775.86,767.32,815.06,860.25,860.5,810.96,759.69,766.08,826.5
789.52,759.45,775.03,825,911,1013.6,1094.1,1139.2,1153.8,1130.6,835.26,777,767.67,813.5,858,858.21,810.41,759.9,766.8,826.75
788.39,757.15,771.93,823.56,910.96,1013.2,1095.3,1141.4,1156.8,1131.7,835.65,778.63,768.37,812.8,855.4,856.14,808.96,760.17,767.5,827
787.13,754,769.16,822.25,910.88,1013,1096.4,1144.3,1159.7,1132.8,836.58,779.66,769,811.4,852.67,853.5,807.71,760.35,768.71,827.4
785.69,751.06,766.1,820.67,910.76,1012.8,1097.5,1147.4,1161.4,1134.1,836.88,781.32,769.58,809.88,849.4,851.16,806.5,760.64,769.75,828.2
784.24,747.83,762.88,818.9,910.13,1012.4,1098.8,1149.8,1164.7,1135.1,837.8,782.9,770.48,808.86,846.33,847.74,805.09,760.86,771,828.41
782.88,745.15,760,817.43,910.08,1012.1,1100.1,1152.6,1167.1,1136.5,838.96,784.88,770.78,807.24,842.56,844.56,803.7,761.26,771.96,829.2
781.52,742.32,757.1,816.05,909.58,1012.2,1101.2,1155.1,1169.7,1137.8,839.26,787.14,771.43,805.19,839.11,841.13,801.87,761.57,773.36,829.5
780.5,739.44,753.67,814.67,909.5,1012,1102.2,1157.5,1172.8,1138.8,840.5,788.92,772.26,802.88,834.73,837.14,800.16,762,774.96,830.4
779.5,737.13,751.19,813.39,909.07,1011.8,1103.1,1159.6,1175.3,1140,841.17,790.83,772.89,800.91,829.93,832.83,797.48,762.08,776.42,831
778.5,734.63,748.65,811.75,908.35,1011.7,1104,1162.5,1177.4,1141,841.73,792.47,773,798.25,825.1,828.15,795.14,762,777.78,831.33
777.33,732.84,746.5,810.64,908.06,1011,1105.1,1164.5,1179.3,1142.5,842.88,794.32,773,795.46,819.81,822.88,792.91,761.86,778.96,832.29
776.5,731.27,744.5,809.47,907.94,1010.6,1105.8,1166.5,1181.5,1143.1,843,795.77,773,791.94,814.43,817.89,789.44,761.73,780.36,832.7
776,729.56,742.62,808.16,907.06,1010.2,1106,1167.9,1182.7,1144,843.83,797.08,772.57,789,808.43,812.1,786.5,760.78,781.15,833.33
775.27,728.5,741.34,806.9,906.89,1010.3,1106.8,1169.4,1184.4,1144.2,844.18,798.17,771.21,785.17,802.5,806.33,782.76,760,782.47,833.5
774.78,727.38,739.67,805.97,906.17,1010.1,1107.4,1170.8,1185.3,1144.8,844.87,798.95,770.88,781.52,796.6,799.94,779.41,758.88,783.03,833.84
774.57,727,738.9,805.17,905.81,1009.8,1107.9,1171.6,1186.5,1145.3,844.91,799.29,768.69,777.34,790.32,793.55,774.96,757.27,784.13,834.27
774.5,726.32,738.12,804.27,905.13,1009.2,1108.1,1172.3,1186.9,1145.9,844.91,800.05,767.31,773.67,782.89,786.72,770.58,755.88,784.42,834.4
774.14,726.12,737.5,803.77,904.64,1009,1108.3,1172.5,1187.6,1146.1,845,800.59,765.5,769.23,776.56,779.5,765.76,753.93,784.65,834.6
774.09,726.11,737,803.14,904.14,1008.9,1108.5,1173.1,1188.1,1146.4,844.91,800.42,763.5,764.23,769.5,773.24,761.69,751.96,784.91,834.62
774.09,726.12,736.94,802.94,904.08,1008.6,1108.2,1173,1188,1146.4,844.91,800.41,761.09,759.79,762.82,765.42,756.5,749.37,784.75,834.62
774.33,726.37,737,802.37,903.22,1008.4,1108.2,1173.1,1187.7,1146.3,845.14,799.95,758.5,754.97,755.9,758.16,751.43,746.71,784.68,834.5
774.57,726.75,737,802.14,902.74,1008.4,1108.2,1173,1187.4,1146.3,844.81,799.25,756.5,750.23,748.77,751.05,746.51,744.5,784.48,834.5
774.52,727.4,737.25,802.05,902.21,1008.3,1108,1172.5,1187,1146.1,844.62,798.96,753.69,745.24,741.84,743.58,740.92,742,784,834.29
774.72,727.64,737.53,802.03,902.03,1008.4,1108.1,1172.2,1186.1,1145.5,844.39,798.55,750.97,740.23,734.36,735.82,735.41,739.44,783.91,834.5
775.37,728.5,737.9,801.97,901.94,1008.3,1108,1171.8,1186,1145,844.47,797.73,748.17,735.18,727.44,728.14,730.5,736.56,783.1,834
775.64,729.32,738.63,801.95,901.39,1007.8,1107.8,1170.9,1185.2,1144.7,843.91,797.04,745.17,730.08,719.39,720.82,724.81,733.56,782.87,833.61
776.14,729.63,739.36,802,901.18,1007.8,1107.1,1170.2,1184.4,1144,843.67,796.47,742.36,725,712.31,713.05,719.41,730.65,782.15,833.33
776.57,730.78,739.85,802.29,900.81,1007.8,1106.5,1169.1,1183.5,1144.2,843,795.87,739.46,719.9,705.1,705.05,713.82,727.09,781.21,833.16
776.74,731.59,740.59,802.63,900.52,1007.6,1106,1168.2,1182.7,1143.6,842.96,794.93,736.34,714.63,697.91,697.49,708.19,724.43,780.88,832.71
777.39,732.58,742,803,900.45,1007.2,1105.4,1167,1181.5,1143,842.78,794.42,733,709.5,690.53,689.61,702.41,720.68,780,832.5
777.86,733.69,743.09,803.37,900.23,1007.1,1104.5,1166,1180.6,1142.5,842,792.88,730,704.37,683.23,682.11,697.13,717.81,779.08,832.25
778.32,734.92,744.23,803.98,900.05,1007,1104,1164.1,1179.1,1142.1,841.6,792.31,726.63,699.27,676.08,674.43,691.21,714.16,778.46,831.75
778.69,736.17,745.53,804.35,899.89,1006.7,1102.9,1162.6,1177.6,1141,840.88,791,723.31,693.88,668.59,666.74,685.71,711.03,777.8,831
779.5,737.33,746.57,805.02,899.55,1006.6,1102,1160.9,1176.8,1140.2,840.73,790.15,719.95,688.61,661.57,659.06,680,707.4,776.95,830.84
780.5,738.83,748.28,805.62,899.43,1006.6,1101.3,1159.3,1174.8,1140,840.5,788.9,717.28,683.31,654.93,652.02,674.25,704.63,775.74,830.5
780.64,739.76,749.88,806.36,899.21,1006.6,1100.3,1157.4,1173.2,1139,839.54,788.29,713.58,678.29,647.19,644.62,668.58,700.94,774.9,830.33
