# x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
787.23,770.78,786.6,823.72,895.69,998.27,1069.8,1106.8,1121.2,1103.9,829.37,767.03,762.98,819.34,872.55,872.5,819.32,763.23,766.68,828.52
787.29,770.78,787.07,823.88,895.89,998.22,1070,1106.6,1121.1,1104.1,829.33,766.89,763.07,819.41,872.58,872.5,819.1,763.11,766.91,828.41
787.29,770.78,787.07,823.88,895.78,998.21,1070,1106.6,1121.1,1104.1,829.33,766.89,763.07,819.41,872.5,872.37,819,763.11,766.91,828.41
787.44,770.5,787.64,823.88,895.88,998.29,1070,1106.8,1121.1,1104.1,829.3,766.88,762.64,819.41,872.59,872.5,819,763.46,766.91,828.41
787.44,770.69,787.42,823.63,895.88,998.25,1070,1106.8,1121.1,1104.1,829.3,766.81,762.71,819.47,872.59,872.63,819.1,763.46,766.91,828.41
787.42,770.78,787.29,823.63,895.88,998.22,1070,1106.6,1121.1,1104.1,829.19,766.89,762.74,819.47,872.59,872.5,819.1,763.54,766.91,828.41
787.44,770.78,787.29,823.63,895.88,998.22,1070.2,1106.6,1121.1,1104.1,829.08,766.74,762.74,819.47,872.59,872.5,819.16,763.54,766.91,828.41
787.13,770.56,787.11,823.5,895.88,998.12,1070.5,1107,1121.1,1104.4,829,766.8,762.82,819.5,872.59,872.59,819,762.96,766.91,828.4
786.92,770.41,786.61,822.88,895.63,998.25,1070.6,1107.4,1121.4,1104.8,829.08,766.93,762.81,819.12,872.53,872.63,819.09,763.07,766.96,828.56
786.12,769.59,785.46,822.67,895.88,998.4,1070.7,1107.6,1122.1,1104.8,829.12,766.96,762.89,819.04,872.59,872.6,819.13,763.19,766.91,828.53
785.91,768.83,785,822.35,895.88,998.5,1071.1,1108.5,1122.5,1105.4,829.91,767,763.09,819.09,872.59,872.5,819,763.04,767,828.48
785.27,768.52,784.4,821.74,896,998.47,1071.9,1108.7,1123.1,1105.8,829.54,767.26,763.17,818.96,872.35,872.35,819,763.26,766.91,828.5
784.87,767.43,783.28,821.3,896.07,998.59,1072.1,1109.6,1123.6,1106.4,829.78,767.18,763.17,818.85,871.86,872.12,818.91,763.3,766.91,828.53
784.56,766.4,782.28,820.52,896,998.35,1072.6,1110.5,1124.6,1106.5,829.8,767.5,763.17,818.62,871,871.53,818.76,763.04,767.09,828.5
783.78,765.06,780.97,820.11,895.88,998.41,1072.7,1111,1125.5,1107,829.87,767.74,763.03,818.42,870.59,871.12,818.61,762.93,767.04,828.79
783.13,763.41,779.58,819.28,895.95,998.4,1073.3,1112.6,1126.7,1107.8,830,767.93,762.87,817.6,869.76,870.6,818.39,763.24,767.22,828.94
782.05,761.45,778,818.6,896.05,998.5,1074.4,1113.6,1127.8,1108.3,830.19,768.28,763,816.96,868.9,869.5,818,763.3,767.57,828.95
781.38,759.6,776.09,817.5,896.13,998.5,1074.9,1115.1,1129.1,1109.1,830.43,768.96,762.94,816.5,867.69,868.5,817.1,762.97,767.92,828.7
780,758.04,774.09,816.67,895.89,998.11,1075.7,1116.6,1131,1110,830.5,769.21,762.94,815.88,866.44,867.28,816.61,763,768.19,829
779.31,755.89,772,815.5,896,998.47,1076.8,1118.5,1132.8,1110.9,830.96,769.71,763.09,815,865,866.13,816.1,763,768.87,829
778,753.75,769.47,814.12,896,998.16,1077.4,1120.7,1134.9,1112.1,831,770.68,763.25,814.59,863,864.84,815.47,763.43,769.29,829.6
776.52,750.91,766.72,813,896.05,998.16,1078.6,1123.1,1136.9,1112.9,831.48,771.3,763.78,813,861.1,863.16,814.55,763.71,770.15,829.72
775.33,747.97,763.83,811.38,896,998.16,1079.8,1124.8,1139.4,1114.3,831.88,772.87,763.9,812.43,859,861.16,813.75,763.88,771,830.27
773.76,744.81,760.67,810.35,895.91,998.16,1080.6,1127.5,1141.5,1115.5,832.67,773.55,764.45,811.09,856.91,859.16,812.81,764.36,771.5,830.5
772.44,742.06,757.21,808.67,895.95,998.05,1082,1130.3,1144.3,1116.3,833.08,775.12,764.91,809.88,853.68,856.76,811.5,764.42,772.81,831
771.12,738.93,754.33,806.9,895.83,998,1083.5,1133.1,1147,1118.1,833.77,776.83,765.37,808.86,851,854,810.4,764.96,773.78,831.8
769.38,735.83,751.32,805.5,895.39,998,1084.5,1135.8,1149.8,1119.1,834.43,777.9,766.18,807,847.7,851,808.88,765.85,774.96,832.41
768.27,732.59,748.03,804.09,895.31,997.73,1085.8,1138.9,1152.8,1120.2,835.18,779.93,766.58,805.09,843.96,847.5,807.84,765.96,776.71,832.72
766.71,729.44,744.7,802.5,895,997.68,1087,1141.4,1155.3,1122.1,836.14,781.8,767.15,803,839.86,843.64,806,766.43,777.96,833.41
765.32,726.52,741.46,800.8,894.5,997.29,1088,1144.5,1157.8,1122.8,837.05,783.59,767.93,801.08,835.77,839.71,804.1,767,779.28,834.32
764.24,723.52,738.4,799.27,894.31,997,1089.3,1146.7,1161.2,1124.3,837.67,785.59,768.5,798.62,831.5,835.63,801.88,767.27,781.1,834.75
762.86,721.37,735.69,798.17,894.07,996.94,1090.1,1149.2,1163.1,1125,838.59,787.37,768.55,796.43,825.93,830.09,799.56,767.12,782.86,835.19
762.09,719.08,733.63,796.63,893.91,996.57,1091.2,1151.3,1165.3,1126.6,838.91,789.2,768.63,792.84,820.68,825.26,796.88,767.15,784.35,836.47
761.14,717.08,731.46,795.5,893.89,996.26,1092.1,1153.5,1167.2,1127.1,840,790.85,768.36,789.81,814.47,819.45,793.56,767,785.52,836.67
760.11,715.46,729.5,794.5,893.19,996.09,1092.8,1155.3,1169,1128.1,840.42,792.04,768,786.5,808.3,813.32,790.21,766.33,786.96,837.47
759.74,714.17,727.77,793.5,892.75,996.03,1093.5,1156.6,1170.5,1128.5,840.96,793.38,766.96,782.71,802.11,806.89,786.16,765.44,788.2,837.8
759.56,713.5,726.52,792.15,892.21,996.17,1093.8,1158,1171.5,1129,841.08,794.17,765.74,778.39,795.05,800.72,782.39,765,789,838.33
759,712.33,725.46,791.81,892.07,996.03,1094.4,1158.8,1172.5,1129.6,841.63,794.88,764.83,774.06,788.31,793.74,777.73,763,789.73,838.47
758.91,711.9,724.93,791.06,891.95,996.16,1095,1159.5,1172.9,1130.1,841.91,795.7,762.74,769.43,781.08,787.05,773.5,761.39,790.55,838.88
758.37,711.4,724.41,790.45,891.71,996,1095.6,1159.9,1173.6,1130,841.95,795.65,760.62,764.73,774.54,779.37,769,759.59,790.58,839
758.3,711.5,723.93,790.18,891.22,996.05,1095.9,1160,1173.8,1130.1,841.85,795.5,758.41,759.82,766.85,772.05,763.79,757.37,790.76,839
758.52,711.75,724,790.03,890.98,996.1,1096,1160.1,1173.8,1130.1,841.52,795.25,755.79,754.89,759.23,764.38,758.5,754.59,790.84,838.81
758.9,712,724.1,790,890.64,996.21,1096,1160.3,1173.6,1130.3,841.7,795,752.83,749.62,751.51,756.29,753,752.21,790.53,838.88
759.09,712.35,724.4,789.89,890.14,996.14,1095.9,1160,1173,1130.2,841.09,794.47,750.33,744.47,743.93,748.49,747.53,749.35,790.1,838.64
759.22,713.33,724.93,789.95,890.12,996.17,1096,1159.9,1172.3,1129.6,840.91,793.88,747.07,739.08,736.26,740.73,741.9,746.56,789.6,838.38
759.5,713.83,725.29,790,890.07,996.33,1095.9,1159.3,1171.9,1129.1,840.73,793,744.19,733.5,728.48,732.49,736.32,742.85,789.09,838.41
760.16,714.63,725.97,790,890.09,996.36,1095.9,1158.7,1171,1129,840.32,792.47,740.9,728,720.5,724.26,730.68,740.1,788.5,837.79
760.58,715.5,726.9,790.13,890,996.44,1095.4,1158.2,1170.5,1128,840.32,791.73,737.83,722.73,712.88,715.88,724.29,736.65,787.62,837.19
761.09,716.56,727.93,790.77,890,996.38,1094.9,1157,1169.4,1128,839.91,790.8,734.59,717,705.15,707.6,718.68,733,786.93,837
761.56,717.67,728.9,791.21,889.95,996.78,1094.2,1156,1168.5,1127.4,839.08,789.88,731.27,711.46,697.08,699.55,712.38,730.11,786.4,836.76
762.09,718.88,730.07,791.82,889.95,996.67,1094,1154.8,1167.4,1127.1,838.91,788.83,728.07,706,689.08,691.08,706.5,726.2,784.93,836.42
762.5,720.29,731.34,792.12,889.9,996.73,1093.2,1153.6,1166.1,1126.2,838.73,788,724.53,699.93,681.13,682.82,700.76,722.89,784.55,835.94
763.14,721.5,732.73,792.82,889.95,996.78,1092.9,1152.1,1164.7,1125.9,838,787,721.03,694.38,673.26,674.5,694.6,719.07,783.44,835.41
764,723.11,734.29,793.95,890,996.89,1092,1150.6,1163,1124.9,837.62,786.15,717.42,688.98,665.5,666.15,688.4,715.17,782.48,834.91
764.5,724.56,735.97,794.61,889.96,997.06,1091,1148.8,1161.4,1124.5,837,785.08,713.9,683.41,657.6,658.04,681.91,711.79,781.22,834.73
765.2,726.03,737.41,795.42,890.02,997.06,1090.4,1147.1,1159.8,1123.6,836.84,783.59,710.44,677.65,650.27,650.09,676.06,707.84,780.08,834.35
765.74,727.5,739.33,796.36,889.9,997.21,1089.7,1145.1,1158.1,1122.9,835.96,782.86,707.06,671.55,642.59,642.12,669.94,704.03,778.97,833.81
766.67,729.37,741.55,797.5,890.04,997.33,1088.5,1143,1156.3,1122,835.26,781.37,703.34,666.6,634.88,634.24,664.15,700.73,777.96,833
767.59,731.37,743.5,798.57,890,997.17,1087.7,1141.1,1154.3,1120.8,834.93,780.37,699.5,661.09,627.69,626.02,658.24,696.83,776.88,832.77
768.24,733.4,745.68,799.52,889.94,997.44,1086.6,1138.7,1151.8,1120,834.8,779.03,696.24,655.37,620.48,618.46,652.55,693.06,775.74,832
769.04,735.32,747.97,800.59,890.07,997.52,1085.5,1136.2,1149.4,1119.7,834,778,692.71,649.55,612.61,611.1,646.54,689.34,774.64,831.6
769.75,737.5,750.59,801.92,890.31,997.39,1084.5,1133.5,1147,1119,833.4,776.86,689.24,644.54,605.85,603.38,641.48,685.91,773,831
770.35,739.53,753,803,890.42,997.7,1083.3,1130.9,1144.7,1118.1,832.85,775.34,685.83,639.5,598.43,596.25,635.59,682.24,772.03,830.41
771.04,741.88,755.69,804.58,890.38,997.88,1082,1128.2,1142.2,1117.1,832.39,774.24,682.31,634.35,591.97,589.03,630.5,678.53,770.7,829.59
771.56,744.35,758.34,805.74,890.48,998.27,1080.3,1125.2,1139.7,1116.3,831.8,772.84,678.94,629.28,584.77,581.42,625.21,674.63,768.93,828.88
772.59,746.78,761.13,807.37,890.53,998.34,1079.1,1122.1,1136.8,1115.5,830.81,771.32,675.6,624.18,578.66,574.82,619.24,671.21,767.62,827.73
773.5,749.14,764.19,808.62,890.6,998.38,1077.6,1119,1134.5,1114.6,830.5,770.23,672.14,619.55,572.07,567.61,614.27,667.5,766.26,827
774.14,751.73,767.08,810.13,890.92,998.86,1076.5,1115.6,1131.2,1114,829.59,768.54,668.78,614.84,565.38,560.71,609,663.79,764.45,826.1
774.5,754.37,770.14,811.54,891.14,998.94,1074.8,1112.1,1128.4,1113.3,829,767.11,665.05,609.96,559,554.34,603.43,659.86,762.78,824.71
775.26,757.03,773.19,812.98,891.5,999.16,1073.4,1108.9,1125.2,1112.5,827.42,765.37,661.98,605.19,553,547.8,598.12,656.24,760.9,823
775.5,759.76,776.54,814.42,891.59,999.33,1071.5,1105.1,1122.2,1112.1,826.86,763.71,658.68,600.36,547,541.38,593,652.57,758.9,821.91
776.41,762.58,779.66,816.2,891.78,999.74,1070.3,1101.4,1118.8,1111.3,825.93,762.27,655.37,595.82,541.28,535.02,588.17,648.95,756.85,819.88
776.5,765.28,783.14,817.74,892.11,999.94,1068.7,1097.7,1115.2,1110.4,824.71,760.38,652.05,591.7,535.16,529,583.15,645.13,754.32,817.96
777.41,768.33,786.6,819.77,892.5,1000.2,1065.7,1093.3,1112.1,1110.1,822.93,758.44,648.9,587.75,529.83,523.08,578.45,641.63,751.65,815.81
777.77,771.39,790.27,821.39,892.49,1000.5,1065.1,1089.6,1108.9,1109.1,821.19,756.5,645.73,583.47,524.25,517.5,573.57,637.6,749.13,813.09
