x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
797,780.72,797.11,834,906.5,1008.6,1080.4,1116.1,1130.8,1113.6,832.39,769.77,765.6,822.5,874.79,873.52,819.59,763,766.79,828.41
797.29,781,797.55,834.36,906.38,1008.8,1080.2,1116.4,1130.6,1113.6,832.71,769.9,765.55,822.32,874.86,873.5,819.67,762.93,766.91,828.43
797.29,781,797.54,834.38,906.27,1008.8,1080.2,1116.4,1130.6,1113.6,832.71,769.9,765.57,822.43,874.82,873.5,819.67,762.93,766.91,828.43
797.39,780.91,797.74,834.5,906.27,1008.8,1080.2,1116.5,1130.7,1113.9,832.65,770.03,765.51,822.5,874.82,873.5,819.67,763.21,767,828.42
797.39,780.91,797.74,834.27,906.38,1008.8,1080.2,1116.5,1130.7,1113.8,832.65,770.03,765.51,822.18,874.86,873.5,819.67,763.21,767,828.45
797.29,780.91,797.44,834.29,906.5,1008.7,1080.3,1116.4,1130.7,1114,832.71,770.03,765.56,822.24,874.8,873.41,819.6,762.93,767,828.5
797.29,780.91,797.44,833.86,906.5,1008.7,1080.3,1116.4,1130.7,1114,832.71,770.03,765.56,822,874.8,873.32,819.6,762.93,767,828.5
797.13,780.75,797,833.67,906.38,1008.7,1080.6,1116.6,1131.1,1114,832.48,769.61,765.64,822.13,874.86,873.22,819.65,763.07,766.91,828.5
797.13,780.46,796.76,833.56,906.39,1009,1080.7,1117.3,1131.3,1114,832.48,769.71,765.58,822.08,874.78,873.29,819.71,762.93,766.79,828.5
796.55,779.91,796.09,833,906.62,1008.9,1081.2,1117.5,1131.4,1114.1,832.36,769.94,765.41,821.78,874.76,873.2,819.29,763.11,766.8,828.41
796.24,779.09,795.34,832.67,906.65,1008.9,1081.3,1118,1132.1,1114.5,832.8,770.23,765.66,821.88,874.4,873.2,819.4,763.4,766.91,828.5
795.88,778.1,794.17,832.22,906.62,1008.9,1082.2,1118.6,1132.7,1114.6,832.79,770.97,766.13,821.91,874.29,873.09,819.5,763.54,767.13,828.53
795.24,776.91,793.03,831.44,906.71,1009,1082.4,1120,1133.7,1115.1,832.8,770.94,766.26,821.78,874,873,819.47,764,767.22,828.81
794.91,776.09,791.74,830.72,906.78,1009,1082.8,1120.5,1134.4,1115.7,832.91,771.24,766.32,821.34,873.09,873,819.12,764,767.78,829.15
794.17,774.72,790.48,830.43,906.75,1009,1083.4,1122.3,1135.3,1116.1,833,771.39,766.48,821,872.75,871.88,819.21,763.88,767.88,829.19
793.33,773.27,789.13,829.5,906.62,1009,1084.3,1123.3,1136.7,1116.6,833.13,771.48,766.53,820.36,871.15,871.17,818.77,763.96,768.13,828.76
792.32,771.31,787.23,828.67,906.75,1009.1,1084.8,1124.6,1138.1,1117.6,833.44,772.25,766.67,819.88,870.25,870.33,818.45,764.08,768.58,829
791.35,769.73,785.21,827.86,906.59,1009,1085.8,1126.7,1139.6,1118.3,833.73,772.83,766.76,819.19,868.81,869.04,817.95,764.32,768.92,829.25
790.33,767.5,783.24,826.88,906.88,1009,1086.7,1128.1,1141.3,1119.3,834.13,773.2,766.61,818.79,867.67,868.27,817,764.43,768.96,829.59
789.39,765,780.76,825.5,906.62,1009,1087.5,1130.2,1143.1,1120,834.43,774,766.83,818,866.76,867,816.73,764.59,769.82,830
788,762.73,778.48,824.6,906.61,1009.1,1088.6,1131.9,1145,1121,834.83,774.83,767.1,816.96,864.78,865.41,816.13,764.58,770.14,830.21
