ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,t
0.000372361, 0.00682868, 0.00280909, -0.00361519, -0.00769687, 0.00725588, -0.00125157, -0.00270218, -0.0451977, -0.0426694, -0.0440267, -0.0486342, -0.0448576, -0.043742, -0.0400046, -0.0404305, -0.00215847, -0.00209398, -0.0020817, -0.00219782, -0.00220983, -0.00230492, -0.0021762, -0.0021563, -0.193045, -0.201736, -0.19813, -0.188847, -0.188296, -0.199839, -0.197837, -0.195356, 5.89203e-10, 9.55225e-10, 7.14914e-10, 9.33934e-10, 7.96316e-10, 8.81572e-10, 6.43086e-10, 9.81256e-10, 1.29802e-09, 1.32568e-09, 7.03043e-10, -7.28993e-10, 4.68222e-10, -1.9268e-10, 1.20214e-09, 2.04354e-09, 1.3778e-10, 4.07427e-10, -6.40629e-11, 3.12948e-10, 6.81001e-10, 2.4497e-10, 5.54484e-10, 1.00184e-10, -8.37224e-10, -2.40297e-09, -1.91429e-09, -9.82556e-10, -2.35879e-09, -1.00558e-09, -1.47147e-09, -2.59821e-09, 8.38207e-08, 1.09579e-07, 1.40391e-07, 1.60934e-07, 1.60727e-07, 1.41494e-07, 1.09355e-07, 8.47088e-08, 4.1988e-07, 5.8914e-07, 7.90573e-07, 9.35029e-07, 9.3317e-07, 8.33623e-07, 5.91656e-07, 4.29395e-07, -4.33845e-10, 9.55054e-10, 1.89149e-10, -5.76676e-10, 2.15072e-10, -3.30869e-09, 1.06868e-11, 2.89794e-10, 2.9631e-07, 4.06606e-07, 5.28614e-07, 6.03716e-07, 6.07382e-07, 5.54121e-07, 4.10101e-07, 3.06891e-07, 0.978796, 0.904773, 0.811626, 0.747037, 0.754954, 0.843074, 0.904342, 0.982987, -0.666169, -0.856125, -1.10402, -1.30151, -1.25573, -1.09411, -0.832408, -0.635409, -0.000655856, -0.00144003, -0.000816861, -0.000374413, 0.00302959, 0.0039466, 0.00269112, 0.0016976, 0.0948281, -0.0673275, -0.237715, -0.34058, -0.322499, -0.214388, -0.0584349, 0.0940786, 0.00416667
-0.000800283, 0.0192275, -0.00156859, -0.00414566, -0.000692305, -0.000855908, -0.00108226, 0.0335329, 0.418688, 0.533648, 0.406887, 0.0791038, 0.404859, 0.172655, 0.453214, 0.675471, 0.0122272, 0.154901, -0.0350719, 0.134333, 0.17756, 0.00259004, 0.154979, -0.0160292, -0.431442, -0.914822, -0.777282, -0.531289, -0.921211, -0.517927, -0.611718, -0.944137, 0.000216618, 0.000274905, 0.000328009, 0.000261855, 0.000370886, 0.000268277, 0.000269428, 0.000218496, -0.000369624, -0.000132894, -0.00028483, -0.000363372, -0.00021937, -0.000342035, -0.000336307, -6.56437e-05, -1.69973e-05, 2.97753e-05, -3.41243e-05, 2.94633e-05, 5.59121e-05, -2.03589e-05, 4.79688e-05, -2.83821e-05, 0.000395428, -1.62372e-05, 0.000185189, 0.000327726, 6.71864e-05, 0.000324397, 0.000316772, -4.29724e-05, -0.299323, -0.382, -0.290223, -0.379419, -0.283151, -0.395969, -0.293545, -0.391244, 0.558439, 1.05587, 0.877262, 1.42121, 0.977744, 1.25346, 0.641695, 0.870259, 0.039056, 0.158587, 0.118073, 0.174519, -0.158165, -0.232149, -0.0876076, -0.10546, -0.0925647, 0.0713254, 0.0134578, 0.10962, 0.00338102, 0.0994038, -0.0447915, 0.029695, 0.0029163, 1.36332, 0.00268257, 1.23073, 0.00248349, 1.33773, 0.00277126, 1.46077, 0.0400057, -1.38057, 0.0359369, -2.03435, 0.0344425, -1.76523, 0.037147, -1.12449, 0.00762076, -0.346186, 0.0089133, -0.227504, -0.00847376, 0.322424, -0.0075419, 0.293882, 0.0182249, -0.0795421, 0.0169095, -0.49033, 0.0154433, -0.324724, 0.0173253, 0.166171, 0.00416667
0.00211041, 0.0230214, -0.00127737, -0.00363762, -0.000208321, -0.00101547, 0.000155385, 0.0383383, 0.338321, 0.593264, 0.394245, 0.0479821, 0.443277, 0.14069, 0.397992, 0.752949, -0.0138988, 0.217511, -0.0794255, 0.188018, 0.235812, -0.0374423, 0.205614, -0.0593005, -0.337035, -1.00313, -0.788164, -0.461349, -1.0016, -0.435842, -0.539858, -1.03929, 0.000146329, -0.000156704, 0.000222803, 1.34469e-05, 0.000292597, 3.65051e-05, 0.000214364, -0.000237135, -1.17894e-05, -8.39478e-05, -0.00018155, 0.000146213, -0.000307965, 0.000137088, -8.07874e-05, -0.000110655, 8.9229e-06, -3.73592e-05, 1.68379e-05, -2.6964e-05, -2.59936e-05, 2.14149e-05, -1.73496e-05, 2.11807e-05, -6.72479e-05, 0.000197865, 0.000159491, -0.000220226, 0.000294971, -0.000218384, -1.04772e-05, 0.000272038, -0.296798, -0.383054, -0.286927, -0.381253, -0.278793, -0.396973, -0.291709, -0.392888, 0.553467, 1.07377, 0.855073, 1.42664, 0.950108, 1.25993, 0.628563, 0.881034, 0.0457138, 0.161256, 0.12382, 0.163463, -0.162161, -0.227572, -0.0888635, -0.105045, -0.104193, 0.092287, 0.000817621, 0.128084, -0.00901447, 0.118318, -0.0572279, 0.0511986, 0.00291939, 1.33181, 0.00266109, 1.25658, 0.00241293, 1.36154, 0.00278336, 1.42419, 0.0404583, -1.40052, 0.0359801, -2.0145, 0.0337725, -1.74298, 0.0376747, -1.14799, 0.00761292, -0.345523, 0.00888651, -0.221854, -0.00841773, 0.322802, -0.00720533, 0.297857, 0.01827, -0.118898, 0.0167664, -0.478217, 0.0149796, -0.316323, 0.0174097, 0.128117, 0.00416667
-0.000104424, -0.000800915, 0.00291513, -0.000678133, 0.0337214, -0.000479372, 0.0079363, 0.000424422, 0.375112, 0.577994, 0.361994, 0.128186, 0.356056, 0.213874, 0.404588, 0.708287, -9.75808e-05, 0.152537, -0.0546281, 0.129669, 0.19595, 0.00371131, 0.169893, -0.0163088, -0.409903, -0.906632, -0.771279, -0.558531, -0.934798, -0.534378, -0.599663, -0.914725, 0.000256991, -0.000254136, 0.000267284, -0.000153251, 0.000260231, -0.000140124, 0.000312536, -0.000315501, -2.59627e-05, 2.97559e-05, -0.000341439, 0.000398427, -0.000545244, 0.000417494, -0.000173289, -6.29161e-06, 1.61688e-05, -7.18967e-06, 1.35187e-05, -2.05662e-05, 6.50275e-06, 1.83882e-05, 7.85239e-06, 1.48395e-05, -0.000244736, 0.000303601, 0.000140417, -0.000327971, 0.000377649, -0.00032215, -0.000116839, 0.000416484, -0.391944, -0.299149, -0.39329, -0.292093, -0.389828, -0.299413, -0.401569, -0.306417, 0.835183, 0.755962, 1.2333, 1.13234, 1.40551, 0.934445, 0.977984, 0.533304, 0.0545468, 0.0585101, 0.154559, 0.0914157, -0.261691, -0.180023, -0.16167, -0.0579164, 0.000889301, 0.00951387, 0.0978179, 0.033463, 0.0496513, -0.0134533, 0.051911, -0.0646382, 1.63184, 0.00261806, 1.22921, 0.00262645, 1.17191, 0.00271251, 1.56139, 0.00276342, -1.05805, 0.0345992, -1.85843, 0.0373842, -1.86057, 0.0381101, -1.10535, 0.0356821, -0.307133, 0.00944259, -0.332873, 0.00700894, 0.318865, -0.00978461, 0.350152, -0.00589615, 0.233444, 0.016655, -0.438156, 0.0166178, -0.380515, 0.0171973, 0.161514, 0.0169895, 0.00416667
0.000595166, -0.00172401, 0.000828465, -0.000867697, 0.0259613, -0.000606865, 0.0112596, -0.00108719, 0.425983, 0.531831, 0.334084, 0.199935, 0.284295, 0.288362, 0.420839, 0.638452, 0.0180868, 0.0884099, -0.0285803, 0.0685801, 0.161551, 0.0556545, 0.137431, 0.030427, -0.492102, -0.792789, -0.747763, -0.663362, -0.859359, -0.645883, -0.6521, -0.774346, 3.31781e-05, -7.70825e-06, 3.92403e-06, -1.09837e-05, -4.59773e-05, 1.54735e-05, 2.54605e-05, -3.88343e-05, 0.000106021, -0.000159509, -4.23527e-05, 0.000134765, -9.85679e-05, 0.000152949, 3.83908e-05, -0.000197209, 1.67337e-05, -4.41833e-05, 1.45954e-05, -5.1685e-05, -7.81828e-06, 4.6971e-05, -6.15738e-07, 3.38646e-05, -0.000173296, 0.00026942, 5.33565e-05, -0.000187994, 0.000149642, -0.00021033, -8.72574e-05, 0.000330492, -0.389307, -0.298599, -0.389168, -0.290742, -0.385965, -0.29772, -0.396922, -0.305329, 0.835741, 0.727963, 1.23242, 1.10162, 1.40649, 0.910284, 0.989791, 0.526202, 0.0603705, 0.0611359, 0.169478, 0.103012, -0.280429, -0.188097, -0.183995, -0.0648329, 0.00217829, -0.00213133, 0.0940098, 0.0284369, 0.0516116, -0.0197698, 0.0487769, -0.0732317, 1.5993, 0.00267345, 1.22715, 0.00259643, 1.18015, 0.00267022, 1.52412, 0.0028248, -1.09136, 0.0356703, -1.85459, 0.0367152, -1.87322, 0.0374243, -1.13413, 0.0369489, -0.323778, 0.0100157, -0.341778, 0.00777662, 0.324161, -0.0101936, 0.36622, -0.00611183, 0.214452, 0.0169982, -0.439263, 0.0164013, -0.386667, 0.0169146, 0.140716, 0.0174053, 0.00416667
0.000294664, 0.000591222, -0.00238594, -0.00186998, 0.0164244, -0.00175158, 0.0127876, 0.00137212, 0.510879, 0.443454, 0.330181, 0.22618, 0.237713, 0.32141, 0.461351, 0.531789, 0.0450964, 0.0242945, 0.00595232, 0.00162201, 0.122713, 0.11807, 0.0995818, 0.0794001, -0.593157, -0.663182, -0.72598, -0.742443, -0.787207, -0.741748, -0.70982, -0.630095, -0.000152131, 0.000204292, -0.000108374, 6.20157e-05, -0.000160206, 9.02361e-05, -0.000196219, 0.000192298, -0.000117151, 1.99307e-05, 0.000129812, -0.00015696, 0.000307274, -0.000155333, 8.91099e-08, 4.35573e-05, -1.3116e-05, 2.30994e-05, -2.74922e-05, 2.55425e-05, 5.36073e-05, -1.37737e-05, 4.88366e-05, -1.84024e-05, 0.000255391, -0.000131868, -0.000121248, 0.000184926, -0.000334297, 0.000212883, 0.00011917, -0.00013703, -0.389281, -0.296388, -0.389324, -0.286124, -0.388139, -0.292458, -0.395882, -0.302836, 0.837855, 0.705238, 1.23405, 1.06756, 1.41049, 0.881475, 1.00307, 0.522863, 0.065084, 0.0726291, 0.180486, 0.123269, -0.291206, -0.204879, -0.201589, -0.0767955, 0.0147188, -0.0239405, 0.106564, 0.014547, 0.0713756, -0.0373468, 0.0579257, -0.0917876, 1.56867, 0.00270441, 1.22974, 0.00253686, 1.19398, 0.00258906, 1.49235, 0.00285183, -1.12838, 0.0368258, -1.84853, 0.036135, -1.88184, 0.0366901, -1.16673, 0.0380835, -0.343692, 0.0105357, -0.357056, 0.0085394, 0.331911, -0.0105252, 0.385087, -0.00631319, 0.188759, 0.017174, -0.447988, 0.0160022, -0.402005, 0.0163941, 0.111384, 0.0175912, 0.00416667
-0.000821885, 0.00899366, -0.00128764, -0.00108351, 0.000573507, 0.00320893, -0.000435619, 0.0166934, 0.445962, 0.475474, 0.377275, 0.156271, 0.344679, 0.250608, 0.456353, 0.578201, 0.0177957, 0.0663234, -0.0339682, 0.0500468, 0.171387, 0.0817835, 0.143456, 0.0472678, -0.453893, -0.773141, -0.762885, -0.680535, -0.893551, -0.650775, -0.631419, -0.734387, -0.000273483, 0.00035227, -0.000212584, 0.000153342, -0.000224593, 0.000194534, -0.000299138, 0.00033991, -1.52162e-05, -7.57034e-05, 0.000314678, -0.000408794, 0.000577045, -0.000403422, 0.000154127, -1.73325e-05, -8.85653e-06, 3.02487e-06, -1.70704e-05, 1.18246e-05, 1.56179e-05, -1.05054e-05, 1.2617e-05, -1.95476e-05, 0.00034097, -0.000260014, -0.000112978, 0.000307727, -0.000413832, 0.000297412, 0.000181806, -0.000318498, -0.302915, -0.38645, -0.291878, -0.381373, -0.283859, -0.398765, -0.295387, -0.396102, 0.555438, 1.02274, 0.892852, 1.42813, 1.00085, 1.24658, 0.645804, 0.843837, 0.041077, 0.165218, 0.137578, 0.207404, -0.189834, -0.263249, -0.108016, -0.112738, -0.093173, 0.0615247, 0.00632902, 0.0859803, -0.00956256, 0.0771553, -0.0492224, 0.0205792, 0.00290687, 1.43131, 0.00264753, 1.19646, 0.00243314, 1.31637, 0.00273313, 1.55163, 0.0397751, -1.31177, 0.0357079, -2.03342, 0.0343038, -1.755, 0.036779, -1.06665, 0.00864267, -0.3888, 0.0103008, -0.273753, -0.00969015, 0.380147, -0.00880403, 0.320131, 0.0181168, -0.0153745, 0.0166906, -0.50005, 0.015147, -0.312555, 0.0170587, 0.222884, 0.00416667
2.45577e-05, 0.017702, -0.00133183, -0.00291977, -0.000100201, 0.000322283, -0.000813836, 0.0266291, 0.385889, 0.515409, 0.406769, 0.0979097, 0.430353, 0.187461, 0.432148, 0.632208, -0.00609759, 0.119161, -0.0708379, 0.104754, 0.21807, 0.0396278, 0.185914, 0.00954101, -0.353892, -0.879312, -0.78609, -0.600828, -0.984352, -0.55321, -0.560086, -0.847635, -8.06787e-05, 6.76028e-05, 1.02829e-05, -2.77441e-05, 4.56179e-05, 7.1196e-06, -5.15977e-05, 3.98045e-05, -0.00012051, 8.39763e-05, 3.05002e-05, -9.21162e-05, 0.000161823, -0.000100952, -6.63506e-05, 0.000127861, -1.32727e-05, 3.49681e-05, -2.56441e-05, 4.19579e-05, 4.31503e-05, -2.72472e-05, 3.81698e-05, -2.72077e-05, 0.000212767, -0.000183747, -2.6261e-05, 0.000130986, -0.000206647, 0.000146378, 0.000145589, -0.000203531, -0.301573, -0.38247, -0.291123, -0.379803, -0.283364, -0.396529, -0.295162, -0.392724, 0.550929, 1.04313, 0.871815, 1.43265, 0.975373, 1.25057, 0.631621, 0.857271, 0.0418006, 0.17194, 0.130106, 0.195038, -0.180453, -0.260993, -0.0993399, -0.116, -0.101269, 0.0611639, 0.00492269, 0.0969543, -0.00859837, 0.0882043, -0.053753, 0.0192669, 0.00292936, 1.38929, 0.00265842, 1.21887, 0.00241162, 1.3365, 0.00277796, 1.50435, 0.0402992, -1.33827, 0.0356593, -2.02699, 0.0336231, -1.74524, 0.0373778, -1.0948, 0.00840053, -0.37428, 0.00995486, -0.255289, -0.00937494, 0.366256, -0.00823557, 0.313159, 0.0182861, -0.0454627, 0.0167507, -0.487464, 0.0149946, -0.307168, 0.0173531, 0.195893, 0.00416667
-0.00135475, 0.0221861, -0.00134032, -0.00327063, 0.000936486, -0.000367907, -0.000230971, 0.032816, 0.304611, 0.57936, 0.39068, 0.0636478, 0.46533, 0.153978, 0.379543, 0.717068, -0.0292811, 0.184431, -0.112328, 0.16328, 0.273856, -0.00564867, 0.233215, -0.0341341, -0.259582, -0.977816, -0.788103, -0.521145, -1.05347, -0.467977, -0.493168, -0.961203, 5.50682e-05, -0.000214612, 0.000156629, -6.15535e-05, 0.00024505, -3.22608e-05, 0.000128625, -0.000276557, 3.31994e-05, -4.81578e-05, -0.00010082, 0.000233866, -0.000213382, 0.000204509, -1.82661e-05, -9.11303e-05, 7.08996e-06, -3.71868e-05, 1.52429e-05, -2.65161e-05, -2.58877e-05, 2.3392e-05, -1.59901e-05, 2.07845e-05, -8.25837e-05, 0.000179249, 8.21315e-05, -0.000311409, 0.000191733, -0.000283085, -5.45263e-05, 0.000269403, -0.296033, -0.383453, -0.287735, -0.382508, -0.278752, -0.398272, -0.29353, -0.394254, 0.538053, 1.06555, 0.850868, 1.44017, 0.94649, 1.25881, 0.618684, 0.870394, 0.0472745, 0.173215, 0.133869, 0.179473, -0.181477, -0.253101, -0.0988768, -0.115377, -0.10736, 0.081681, -0.00717103, 0.12011, -0.0209246, 0.1102, -0.065338, 0.0381774, 0.00293817, 1.35428, 0.00264549, 1.24628, 0.00234156, 1.35999, 0.00279302, 1.46385, 0.0407107, -1.36223, 0.0358189, -2.01196, 0.0330204, -1.72734, 0.0378693, -1.12187, 0.00824587, -0.369665, 0.00974945, -0.245871, -0.00913528, 0.361842, -0.00772742, 0.313077, 0.0183544, -0.0885877, 0.0166575, -0.47796, 0.0145467, -0.302436, 0.0174551, 0.157, 0.00416667
-8.69809e-05, -0.000746441, 0.00507306, -0.000618301, 0.0439913, -0.000371556, 0.00713158, 0.000206195, 0.347954, 0.560499, 0.362142, 0.151176, 0.380525, 0.230952, 0.385418, 0.664572, -0.0178412, 0.118709, -0.0903314, 0.101378, 0.237312, 0.0394869, 0.200575, 0.00834679, -0.339014, -0.871716, -0.778013, -0.630461, -0.996108, -0.570166, -0.547964, -0.819715, 0.000226028, -0.000270735, 0.000257029, -0.000168044, 0.000259009, -0.000154394, 0.000293902, -0.00032663, -4.99088e-05, 2.2273e-05, -0.00031719, 0.000430372, -0.000527521, 0.000437316, -0.000155694, -2.22042e-05, 1.2455e-05, -7.18065e-06, 7.7973e-06, -2.51148e-05, 1.08071e-05, 1.77132e-05, 1.03091e-05, 1.18708e-05, -0.00019221, 0.00032603, 0.00011178, -0.000359512, 0.000342213, -0.000337798, -0.000130034, 0.000443065, -0.394293, -0.30068, -0.393142, -0.292941, -0.388039, -0.300592, -0.403374, -0.308996, 0.824981, 0.747628, 1.22723, 1.13957, 1.40939, 0.928239, 0.964421, 0.526475, 0.0592945, 0.0684915, 0.173809, 0.106101, -0.290488, -0.19814, -0.174074, -0.0653318, -0.00657308, 0.000208669, 0.088082, 0.0285855, 0.0290543, -0.021415, 0.0451946, -0.076508, 1.66049, 0.00261501, 1.24316, 0.0025769, 1.16827, 0.00267757, 1.59769, 0.00280351, -1.01289, 0.0347504, -1.82572, 0.0367074, -1.81729, 0.0376805, -1.05105, 0.0365827, -0.326415, 0.0104345, -0.367063, 0.00777439, 0.35454, -0.0107888, 0.372774, -0.00638738, 0.261786, 0.0166278, -0.414963, 0.0163178, -0.347827, 0.0169574, 0.203243, 0.0172209, 0.00416667
