ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,t
-0.108658,-0.092703,-0.107971,-0.093054,-0.107607,-0.093963,-0.107973,-0.093605,0.066197,0.066833,0.065563,0.066303,0.065933,0.067004,0.066536,0.067547,-0.016821,-0.012588,-0.016846,-0.013754,-0.017297,-0.014296,-0.017458,-0.013106,-0.302139,-0.314466,-0.302408,-0.313320,-0.303513,-0.313376,-0.303252,-0.314580,-0.001249,-0.000793,-0.000770,-0.000475,-0.000532,-0.000585,-0.001035,-0.000896,0.000798,0.001178,0.001151,0.000869,0.000382,0.000077,0.000033,0.000387,-0.003961,-0.004334,-0.003862,-0.003723,-0.003253,-0.003336,-0.003317,-0.003941,-0.004014,-0.003220,-0.003071,-0.002414,-0.002716,-0.002893,-0.003704,-0.003710,10.854006,14.211857,10.294955,13.766719,12.957261,17.115830,13.405966,17.691997,1.367335,1.412823,1.304540,1.150982,1.000242,0.981323,1.063102,1.243289,8.325323,7.712924,6.300930,6.743460,7.039528,8.730534,9.064413,9.705775,-10.414532,-10.754395,-7.076265,-8.813354,-8.720076,-12.744179,-12.023428,-14.738296,20.212615,33.067431,26.278764,36.349838,33.250117,40.285256,26.820393,37.400601,9.295625,10.535524,8.526067,4.664066,0.845347,-0.220509,1.652149,5.634992,36.432993,38.193230,32.490574,37.142427,37.085722,44.009846,40.926844,45.172741,-29.316033,-20.970357,-13.844971,-11.680463,-13.706383,-21.547367,-29.328236,-30.728764,0.004167
-0.094263,-0.073102,-0.093271,-0.073421,-0.092980,-0.074812,-0.093487,-0.074505,0.096899,0.097848,0.095948,0.097049,0.096505,0.098099,0.097404,0.098919,-0.011184,-0.004839,-0.011229,-0.006470,-0.011809,-0.007189,-0.012046,-0.005519,-0.314147,-0.328683,-0.314452,-0.327135,-0.316060,-0.327405,-0.315705,-0.329031,0.041447,0.056617,0.040405,0.055656,0.052131,0.069285,0.052650,0.070805,0.007531,0.008671,0.008154,0.006801,0.004951,0.004105,0.004339,0.005979,0.023982,0.020524,0.015830,0.017985,0.020353,0.027150,0.028593,0.029728,-0.053763,-0.053183,-0.037464,-0.043036,-0.043371,-0.060583,-0.059638,-0.070978,8.309449,11.539461,7.761780,11.032332,10.324593,14.296164,10.743102,14.925282,1.778661,1.851810,1.745941,1.594086,1.418167,1.386859,1.451043,1.644722,7.106983,6.605614,5.443364,5.902206,6.170507,7.615694,7.835172,8.322808,-7.579559,-7.997749,-4.651364,-6.275687,-6.151888,-9.795280,-9.040254,-11.563927,16.714923,28.870734,22.047594,31.583029,29.025812,36.051878,23.265656,33.719161,12.196443,13.754779,11.791724,7.916869,3.791521,2.570841,4.241551,8.361223,31.809160,33.658530,28.961625,33.525432,33.657729,39.643777,36.389791,39.886888,-22.632617,-14.953278,-8.737419,-6.519699,-8.073307,-14.846335,-22.146229,-23.158706,0.004167
-0.081087,-0.054649,-0.079803,-0.054945,-0.079528,-0.056742,-0.080164,-0.056475,0.125139,0.126477,0.123871,0.125389,0.124634,0.126799,0.125827,0.127915,-0.005540,0.002955,-0.005646,0.000846,-0.006315,0.000013,-0.006589,0.002182,-0.325787,-0.342712,-0.326132,-0.340735,-0.328262,-0.341221,-0.327802,-0.343297,0.073452,0.102778,0.070928,0.100272,0.093726,0.127289,0.095148,0.130869,0.015866,0.017913,0.016897,0.014470,0.011116,0.009670,0.010103,0.013121,0.046714,0.040603,0.031793,0.036006,0.040175,0.052821,0.055241,0.057481,-0.091754,-0.091714,-0.061826,-0.073159,-0.073404,-0.106052,-0.103202,-0.125066,5.894937,9.038456,5.469269,8.538098,7.931431,11.647166,8.211761,12.263978,1.726808,1.826453,1.728601,1.583425,1.387542,1.342437,1.386033,1.585596,6.183485,5.804555,4.873800,5.346730,5.574730,6.782825,6.885905,7.243042,-5.217272,-5.754960,-2.757693,-4.291374,-4.129153,-7.374752,-6.544678,-8.880858,12.850701,24.367378,17.698208,26.644623,24.634433,31.462366,19.304748,29.552699,11.485936,13.339400,11.515856,7.794695,3.481478,2.109332,3.498070,7.599590,28.619642,30.603238,26.833166,31.273647,31.533177,36.618572,33.194321,36.052950,-17.267308,-10.351969,-5.017601,-2.856390,-3.915920,-9.652099,-16.365157,-17.021084,0.004167
-0.069118,-0.037313,-0.067554,-0.037596,-0.067239,-0.039730,-0.067993,-0.039489,0.151140,0.152958,0.149557,0.151565,0.150554,0.153349,0.152033,0.154777,-0.000162,0.010537,-0.000364,0.007934,-0.001080,0.007043,-0.001360,0.009727,-0.337107,-0.356613,-0.337512,-0.354184,-0.340184,-0.354881,-0.339594,-0.357427,0.095298,0.138393,0.091792,0.134364,0.125240,0.174129,0.126996,0.179724,0.023881,0.026981,0.025482,0.021996,0.017019,0.014907,0.015448,0.019903,0.065410,0.057121,0.045170,0.051470,0.057293,0.074792,0.077739,0.080525,-0.120006,-0.121004,-0.078423,-0.095139,-0.095139,-0.141552,-0.136478,-0.168070,3.849765,6.948683,3.624891,6.506470,5.987568,9.412370,6.052799,9.966471,1.639243,1.762799,1.675916,1.541268,1.330376,1.272183,1.294157,1.493810,5.465883,5.199126,4.464907,4.945318,5.130064,6.130056,6.133026,6.385182,-3.293437,-3.961488,-1.294003,-2.753269,-2.550266,-5.420081,-4.502132,-6.667460,9.398627,20.386201,14.033300,22.390648,20.890396,27.355508,15.724471,25.708751,10.531680,12.628288,11.007487,7.551100,3.171010,1.676455,2.743878,6.692574,26.077146,28.181809,25.217742,29.499375,29.849320,34.119553,30.574846,32.902715,-13.093294,-6.920934,-2.342431,-0.296916,-0.881005,-5.720375,-11.851560,-12.213259,0.004167
-0.058316,-0.021042,-0.056478,-0.021324,-0.056069,-0.023731,-0.056937,-0.023503,0.175090,0.177489,0.173195,0.175778,0.174461,0.177951,0.176216,0.179708,0.004840,0.017792,0.004518,0.014679,0.003796,0.013770,0.003530,0.016990,-0.348073,-0.370365,-0.348574,-0.367464,-0.351817,-0.368359,-0.351055,-0.371397,0.108521,0.165174,0.104862,0.159858,0.148542,0.211529,0.149744,0.218884,0.031436,0.035719,0.033765,0.029257,0.022564,0.019722,0.020277,0.026198,0.080902,0.070862,0.056607,0.064990,0.072314,0.093786,0.096879,0.099754,-0.140371,-0.142948,-0.089071,-0.110856,-0.110452,-0.169046,-0.161379,-0.201970,2.089610,5.169188,2.114378,4.821956,4.385379,7.498898,4.187843,7.954181,1.534126,1.677992,1.603423,1.481963,1.260815,1.191287,1.192187,1.387355,4.897111,4.724623,4.150739,4.632966,4.777333,5.602736,5.526232,5.694830,-1.691980,-2.482987,-0.115681,-1.512073,-1.274343,-3.802563,-2.800023,-4.809828,6.307683,16.860049,10.959985,18.738254,17.717640,23.682040,12.488479,22.153163,9.487319,11.774233,10.383882,7.253633,2.891784,1.305221,2.047051,5.758451,23.985683,26.174352,23.897238,27.993566,28.416421,31.967999,28.363382,30.246259,-9.757275,-4.256198,-0.286936,1.606241,1.454713,-2.654290,-8.254560,-8.381829,0.004167
-0.048630,-0.005775,-0.046518,-0.006069,-0.045958,-0.008691,-0.046943,-0.008462,0.197151,0.200245,0.194951,0.198201,0.196529,0.200781,0.198548,0.202880,0.009443,0.024680,0.008982,0.021037,0.008292,0.020143,0.008052,0.023916,-0.358626,-0.383920,-0.359275,-0.380528,-0.363122,-0.381604,-0.362132,-0.385152,0.114313,0.184418,0.111532,0.178206,0.165062,0.240832,0.164622,0.249540,0.038463,0.044039,0.041670,0.036186,0.027715,0.024083,0.024565,0.031955,0.093807,0.082366,0.066499,0.076934,0.085621,0.110320,0.113270,0.115858,-0.154198,-0.158860,-0.094965,-0.121545,-0.120607,-0.189941,-0.179329,-0.228257,0.556342,3.627601,0.852836,3.397613,3.043893,5.839447,2.562233,6.174210,1.420298,1.580755,1.518578,1.411714,1.184113,1.105370,1.086771,1.274372,4.441001,4.343310,3.895876,4.376209,4.485532,5.169665,5.033772,5.136478,-0.339486,-1.236731,0.865434,-0.476630,-0.213862,-2.440686,-1.365425,-3.234770,3.528724,13.713219,8.370786,15.583474,15.023030,20.384054,9.560591,18.855892,8.434679,10.865462,9.705990,6.923297,2.629516,0.978485,1.414206,4.847328,22.236459,24.465933,22.766485,26.663298,27.151563,30.081327,26.473178,27.978746,-7.039715,-2.120632,1.389337,3.107908,3.339340,-0.208209,-5.347432,-5.298797,0.004167
-0.040002,0.008548,-0.037609,0.008230,-0.036845,0.005444,-0.037956,0.005687,0.217471,0.221376,0.214975,0.218985,0.216911,0.221989,0.219179,0.224446,0.013660,0.031195,0.013051,0.027002,0.012429,0.026143,0.012217,0.030491,-0.368702,-0.397222,-0.369563,-0.393318,-0.374059,-0.394555,-0.372771,-0.398633,0.113627,0.197125,0.112850,0.190502,0.175894,0.263107,0.172634,0.272668,0.044934,0.051889,0.049150,0.042740,0.032456,0.027980,0.028317,0.037152,0.104606,0.092029,0.075110,0.087547,0.097487,0.124798,0.127398,0.129395,-0.162521,-0.169698,-0.096918,-0.128050,-0.126494,-0.205291,-0.191436,-0.248100,-0.789673,2.274143,-0.219141,2.171839,1.905121,4.386195,1.137452,4.590432,1.302950,1.476685,1.426094,1.334242,1.102828,1.016967,0.980943,1.159279,4.072354,4.031920,3.681329,4.158076,4.237989,4.811008,4.632769,4.683965,0.813633,-0.170316,1.702750,0.408317,0.685984,-1.280282,-0.147248,-1.890888,1.025358,10.882898,6.172346,12.833029,12.723182,17.412225,6.913441,15.797782,7.417614,9.955529,9.009423,6.569259,2.364854,0.672651,0.834264,3.980025,20.759347,22.990470,21.773081,25.467757,26.017592,28.415725,24.849238,26.030916,-4.793877,-0.370460,2.820090,4.350685,4.918727,1.777972,-2.971621,-2.802822,0.004167
-0.032381,0.021986,-0.029689,0.021632,-0.028665,0.018724,-0.029921,0.018994,0.236179,0.241015,0.233397,0.238263,0.235744,0.241707,0.238244,0.244537,0.017520,0.037348,0.016760,0.032579,0.016238,0.031767,0.016050,0.036715,-0.378246,-0.410221,-0.379394,-0.405781,-0.384597,-0.407152,-0.382925,-0.411788,0.107252,0.204088,0.109614,0.197586,0.181893,0.279222,0.174626,0.289093,0.050841,0.059237,0.056178,0.048890,0.036783,0.031410,0.031548,0.041784,0.113683,0.100159,0.082636,0.097009,0.108125,0.137548,0.139668,0.140819,-0.166158,-0.176199,-0.095517,-0.130975,-0.128766,-0.215916,-0.198589,-0.262453,-1.976066,1.075057,-1.141827,1.102573,0.928509,3.105116,-0.114632,3.177029,1.185571,1.369902,1.329523,1.252468,1.018798,0.927757,0.876484,1.044956,3.772566,3.775237,3.496674,3.969821,4.025153,4.512845,4.305493,4.316881,1.802854,0.750686,2.428873,1.176410,1.460114,-0.283759,0.892367,-0.739740,-1.228057,8.322284,4.292135,10.413490,10.751272,14.728181,4.526424,12.966859,6.458049,9.076685,8.316018,6.199072,2.084965,0.371095,0.294514,3.164635,19.503306,21.705614,20.888499,24.388035,24.995394,26.942647,23.449883,24.350653,-2.916341,1.084961,4.078953,5.413682,6.279180,3.412912,-1.011266,-0.773672,0.004167
-0.025715,0.034592,-0.022700,0.034190,-0.021359,0.031197,-0.022787,0.031507,0.253394,0.259281,0.250337,0.256150,0.253151,0.260051,0.255867,0.263270,0.021055,0.043157,0.020147,0.037782,0.019756,0.037022,0.019581,0.042599,-0.387211,-0.422874,-0.388735,-0.417866,-0.394712,-0.419347,-0.392561,-0.424572,0.095863,0.205959,0.102456,0.200120,0.183746,0.289906,0.171329,0.299534,0.056194,0.066069,0.062743,0.054619,0.040700,0.034375,0.034281,0.045856,0.121349,0.106997,0.089232,0.105465,0.117712,0.148840,0.150414,0.150500,-0.165778,-0.178951,-0.091211,-0.130787,-0.127929,-0.222481,-0.201514,-0.272107,-3.022691,0.007510,-1.942121,0.161779,0.085973,1.971873,-1.215219,1.914784,1.070640,1.263568,1.231672,1.168896,0.933646,0.839195,0.774691,0.933520,3.527428,3.562666,3.335752,3.806528,3.840917,4.264648,4.037794,4.018998,2.654641,1.549846,3.064245,1.848575,2.131424,0.575923,1.782387,0.248415,-3.249858,5.998394,2.676916,8.271226,9.056514,12.303244,2.383153,10.354893,5.565099,8.247655,7.639076,5.820608,1.784282,0.065665,-0.214761,2.403872,18.427752,20.580815,20.093993,23.413025,24.071550,25.639343,22.239836,22.895667,-1.331889,2.305318,5.206629,6.341249,7.472431,4.772643,0.619698,0.880059,0.004167
-0.019958,0.046417,-0.016587,0.045952,-0.014867,0.042907,-0.016504,0.043270,0.269223,0.276282,0.265903,0.272752,0.269245,0.277122,0.272158,0.280752,0.024297,0.048643,0.023250,0.042627,0.023020,0.041915,0.022841,0.048157,-0.395558,-0.435148,-0.397557,-0.429531,-0.404392,-0.431093,-0.401651,-0.436951,0.080051,0.203295,0.091897,0.198650,0.182021,0.295783,0.163384,0.304626,0.061012,0.072383,0.068848,0.059914,0.044216,0.036879,0.036545,0.049381,0.127860,0.112740,0.095030,0.113031,0.126402,0.158896,0.159912,0.158738,-0.161938,-0.178450,-0.084361,-0.127864,-0.124395,-0.225541,-0.200819,-0.277732,-3.944217,-0.943999,-2.637968,-0.668933,-0.641952,0.968967,-2.180625,0.789013,0.959920,1.160089,1.134718,1.085646,0.848815,0.752609,0.676597,0.826589,3.325842,3.386361,3.194432,3.664928,3.680821,4.058041,3.818253,3.777349,3.389308,2.244002,3.622290,2.438365,2.715528,1.318820,2.545350,1.096960,-5.053649,3.888837,1.288687,6.369085,7.601239,10.116546,0.469971,7.955600,4.740599,7.478679,6.986306,5.441670,1.462233,-0.245537,-0.699963,1.698284,17.498296,19.591509,19.373989,22.533279,23.233238,24.485210,21.187480,21.630162,0.015078,3.331706,6.226021,7.159232,8.530019,5.911726,1.985365,2.228198,0.004167
