ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,ankle_1,ankle_2,ankle_3,ankle_4,ankle_5,ankle_6,ankle_7,ankle_8,hip2_1,hip2_2,hip2_3,hip2_4,hip2_5,hip2_6,hip2_7,hip2_8,hip_1,hip_2,hip_3,hip_4,hip_5,hip_6,hip_7,hip_8,knee_1,knee_2,knee_3,knee_4,knee_5,knee_6,knee_7,knee_8,t
-0.000298,-0.000299,-0.000300,-0.000300,-0.000296,-0.000299,-0.000299,-0.000300,-0.000066,-0.000042,0.000026,0.000026,-0.000031,-0.000064,-0.000073,-0.000038,-0.000168,-0.000157,-0.000159,-0.000159,-0.000163,-0.000163,-0.000161,-0.000154,-0.000530,-0.000521,-0.000520,-0.000520,-0.000516,-0.000522,-0.000521,-0.000518,-0.000001,-0.000001,-0.000000,-0.000000,-0.000001,-0.000001,-0.000001,0.000000,0.000057,0.000056,0.000055,0.000055,0.000055,0.000055,0.000057,0.000058,-0.000003,-0.000007,-0.000002,0.000000,-0.000004,-0.000005,-0.000004,0.000001,-0.000003,-0.000005,-0.000001,0.000000,-0.000003,-0.000003,-0.000003,0.000000,18.777154,15.649985,13.289069,13.159163,13.727852,18.121440,18.298737,15.734292,0.018855,0.017808,0.017787,0.018787,0.020224,0.021258,0.021286,0.020280,-10.492166,-11.145777,-14.276190,-18.445268,-23.328160,-21.322387,-21.279107,-21.090537,-12.780102,-8.208771,-0.052112,7.540977,14.186090,6.938245,4.655284,4.594806,-6.996841,-6.953377,-6.883932,-6.892235,-6.826071,-6.930890,-6.946602,-6.944080,-0.159223,-0.563854,0.484849,0.301434,-0.000589,0.302376,0.158361,-0.027957,-29.408889,-29.246297,-29.072555,-29.345503,-29.329552,-29.696275,-29.850035,-29.932922,-19.845693,-19.716137,-19.536403,-19.614028,-19.496735,-19.787231,-19.862714,-19.879967,0.004167
-0.000313,-0.000314,-0.000317,-0.000319,-0.000308,-0.000317,-0.000315,-0.000318,-0.000159,-0.000097,0.000074,0.000074,-0.000069,-0.000152,-0.000175,-0.000086,-0.000238,-0.000221,-0.000230,-0.000225,-0.000230,-0.000232,-0.000230,-0.000216,-0.000578,-0.000563,-0.000566,-0.000565,-0.000556,-0.000570,-0.000567,-0.000561,0.078236,0.065204,0.055370,0.054830,0.057197,0.075503,0.076243,0.065560,0.000219,0.000212,0.000209,0.000211,0.000217,0.000224,0.000227,0.000226,-0.043726,-0.046459,-0.059488,-0.076854,-0.097212,-0.088856,-0.088673,-0.087874,-0.053257,-0.034215,-0.000220,0.031421,0.059101,0.028901,0.019390,0.019146,17.283474,14.776608,12.623917,12.289219,12.290095,17.180737,17.562357,15.262097,0.035741,0.034200,0.033598,0.034253,0.035745,0.037214,0.037842,0.037228,-9.481342,-10.049951,-13.032369,-17.087001,-21.585972,-19.779428,-19.775345,-19.680213,-12.624872,-8.541576,-0.821189,6.615895,12.882504,5.937847,3.774147,3.817402,-6.799321,-6.758500,-6.692426,-6.702490,-6.638550,-6.738138,-6.750725,-6.746419,-0.150588,-0.557379,0.492011,0.308505,0.007195,0.309727,0.166155,-0.019529,-28.503685,-28.356711,-28.199480,-28.475737,-28.428905,-28.797248,-28.937815,-29.018973,-19.262273,-19.142204,-18.972003,-19.053478,-18.932498,-19.215348,-19.282086,-19.295195,0.004167
-0.000001,-0.000056,-0.000103,-0.000109,-0.000083,-0.000021,-0.000015,-0.000063,-0.000250,-0.000150,0.000123,0.000122,-0.000105,-0.000238,-0.000275,-0.000135,-0.000468,-0.000461,-0.000532,-0.000599,-0.000677,-0.000658,-0.000651,-0.000629,-0.000832,-0.000737,-0.000604,-0.000474,-0.000342,-0.000492,-0.000525,-0.000518,0.150249,0.126771,0.107969,0.106035,0.108404,0.147088,0.149418,0.129153,0.000452,0.000436,0.000429,0.000433,0.000445,0.000460,0.000469,0.000466,-0.083237,-0.088345,-0.113792,-0.148047,-0.187161,-0.171278,-0.171076,-0.169872,-0.105865,-0.069813,-0.003644,0.058989,0.112774,0.053637,0.035112,0.035054,15.146167,13.771075,12.716376,11.673815,9.808728,16.544117,17.291772,14.948676,0.090173,0.086949,0.084651,0.084549,0.086564,0.089532,0.091925,0.092232,-8.366485,-8.951588,-11.952639,-15.810639,-19.730143,-18.312164,-18.374694,-18.323016,-12.459505,-8.862374,-1.594909,5.719250,11.714991,4.933934,2.877006,3.041484,-6.608621,-6.568858,-6.503278,-6.516213,-6.458119,-6.548897,-6.558167,-6.553125,-0.133770,-0.540383,0.508994,0.329279,0.032943,0.334069,0.190906,0.004880,-27.606688,-27.486210,-27.362206,-27.630536,-27.528828,-27.923276,-28.055138,-28.129697,-18.691921,-18.582156,-18.422149,-18.505823,-18.379184,-18.656532,-18.715555,-18.724696,0.004167
0.000612,0.000460,0.000332,0.000316,0.000356,0.000573,0.000591,0.000459,-0.000340,-0.000202,0.000173,0.000171,-0.000139,-0.000323,-0.000374,-0.000183,-0.000844,-0.000861,-0.001042,-0.001254,-0.001483,-0.001410,-0.001397,-0.001369,-0.001291,-0.001049,-0.000646,-0.000262,0.000102,-0.000304,-0.000409,-0.000400,0.213357,0.184148,0.160953,0.154676,0.149272,0.216020,0.221466,0.191440,0.000915,0.000882,0.000861,0.000863,0.000886,0.000916,0.000937,0.000938,-0.118102,-0.125656,-0.163596,-0.213921,-0.269377,-0.247587,-0.247643,-0.246214,-0.157783,-0.106748,-0.010290,0.082821,0.161582,0.074190,0.047096,0.047729,12.870865,12.676356,13.080363,11.076939,7.214914,15.904227,17.082162,14.783615,0.174429,0.168591,0.163627,0.162300,0.165078,0.170382,0.175548,0.177340,-7.246957,-7.856489,-10.929878,-14.567326,-17.945336,-16.859151,-16.992631,-17.011851,-12.289432,-9.176919,-2.388370,4.850980,10.682552,3.929429,1.959367,2.257922,-6.423330,-6.384373,-6.318110,-6.334188,-6.281726,-6.364089,-6.370186,-6.364325,-0.107490,-0.513855,0.537313,0.364320,0.075908,0.374921,0.232017,0.045200,-26.729287,-26.635846,-26.550239,-26.805046,-26.648309,-27.067499,-27.192969,-27.264780,-18.135870,-18.036188,-17.886233,-17.970793,-17.837780,-18.110129,-18.162381,-18.168591,0.004167
0.001491,0.001216,0.000988,0.000943,0.000967,0.001453,0.001496,0.001240,-0.000427,-0.000251,0.000224,0.000221,-0.000170,-0.000404,-0.000470,-0.000230,-0.001349,-0.001401,-0.001742,-0.002166,-0.002621,-0.002460,-0.002444,-0.002411,-0.001954,-0.001505,-0.000706,0.000058,0.000754,-0.000022,-0.000235,-0.000223,0.266984,0.236963,0.215455,0.200831,0.179332,0.282286,0.292640,0.253039,0.001729,0.001668,0.001623,0.001618,0.001653,0.001708,0.001756,0.001766,-0.148303,-0.158405,-0.209137,-0.274614,-0.344157,-0.317842,-0.318451,-0.317090,-0.208992,-0.144993,-0.020242,0.103036,0.206088,0.090557,0.055256,0.057140,10.903647,11.590201,13.233447,10.383783,5.179378,15.100028,16.622655,14.677264,0.281691,0.272557,0.264097,0.261045,0.264636,0.272895,0.281685,0.285541,-6.212941,-6.785344,-9.878716,-13.342379,-16.345821,-15.399427,-15.578057,-15.730703,-12.115258,-9.485075,-3.183659,4.024303,9.750804,2.943272,1.040009,1.469446,-6.242173,-6.204838,-6.138390,-6.156782,-6.107529,-6.184180,-6.187692,-6.180348,-0.073668,-0.479536,0.575145,0.411180,0.132753,0.429169,0.286483,0.098634,-25.881352,-25.808066,-25.754068,-25.997453,-25.800802,-26.227129,-26.345229,-26.422478,-17.595105,-17.504716,-17.363643,-17.448380,-17.309562,-17.575984,-17.622125,-17.626871,0.004167
0.002595,0.002195,0.001871,0.001763,0.001704,0.002609,0.002697,0.002278,-0.000512,-0.000295,0.000279,0.000274,-0.000197,-0.000482,-0.000562,-0.000275,-0.001966,-0.002064,-0.002617,-0.003315,-0.004059,-0.003786,-0.003771,-0.003731,-0.002820,-0.002110,-0.000799,0.000468,0.001596,0.000336,-0.000020,0.000002,0.312415,0.285252,0.270594,0.244097,0.200911,0.345201,0.361900,0.314196,0.002991,0.002888,0.002803,0.002784,0.002835,0.002928,0.003017,0.003046,-0.174194,-0.186691,-0.250298,-0.330201,-0.412272,-0.382014,-0.383365,-0.382627,-0.259476,-0.184524,-0.033508,0.119807,0.246711,0.102815,0.059586,0.063267,9.368398,10.586587,13.028567,9.642569,3.761385,14.158469,15.909910,14.520811,0.405977,0.393097,0.380473,0.375195,0.379502,0.391111,0.404207,0.410688,-5.279210,-5.751984,-8.777494,-12.149826,-14.934010,-13.944135,-14.139361,-14.461768,-11.956780,-9.790523,-3.968220,3.246881,8.904377,1.984538,0.132392,0.680388,-6.065127,-6.030284,-5.964712,-5.983982,-5.935587,-6.009213,-6.010837,-6.001744,-0.034056,-0.439040,0.620842,0.467693,0.200583,0.494060,0.351596,0.162655,-25.066157,-25.005490,-24.971834,-25.209645,-24.987564,-25.403545,-25.513023,-25.601574,-17.070616,-16.988579,-16.854704,-16.939110,-16.795037,-17.054566,-17.095326,-17.100012,0.004167
0.003891,0.003376,0.002985,0.002763,0.002533,0.004026,0.004186,0.003571,-0.000591,-0.000334,0.000339,0.000330,-0.000219,-0.000554,-0.000649,-0.000317,-0.002678,-0.002831,-0.003649,-0.004680,-0.005771,-0.005364,-0.005354,-0.005309,-0.003887,-0.002870,-0.000939,0.000956,0.002612,0.000751,0.000221,0.000261,0.351448,0.329360,0.324879,0.284276,0.216582,0.404192,0.428190,0.374701,0.004771,0.004610,0.004468,0.004424,0.004495,0.004641,0.004789,0.004847,-0.196194,-0.210672,-0.286870,-0.380817,-0.474504,-0.440123,-0.442283,-0.442875,-0.309298,-0.225327,-0.050042,0.133340,0.283808,0.111079,0.060134,0.066107,8.174491,9.678021,12.565183,8.917912,2.757799,13.162777,15.071678,14.277353,0.542054,0.525197,0.507901,0.499910,0.504710,0.519856,0.537774,0.547412,-4.430696,-4.756519,-7.650460,-11.009211,-13.642572,-12.516749,-12.710465,-13.198949,-11.808985,-10.098772,-4.737557,2.526770,8.096951,1.063579,-0.749320,-0.106067,-5.892651,-5.860931,-5.797021,-5.815861,-5.767080,-5.839174,-5.839408,-5.828808,0.009826,-0.393813,0.672881,0.531944,0.276974,0.567140,0.424891,0.234995,-24.282621,-24.229075,-24.207010,-24.444739,-24.204326,-24.600278,-24.700597,-24.802069,-16.562775,-16.488413,-16.360353,-16.444001,-16.294852,-16.546884,-16.582886,-16.588466,0.004167
0.005350,0.004743,0.004326,0.003932,0.003428,0.005689,0.005952,0.005116,-0.000663,-0.000365,0.000405,0.000391,-0.000234,-0.000619,-0.000729,-0.000352,-0.003471,-0.003686,-0.004822,-0.006243,-0.007732,-0.007173,-0.007170,-0.007125,-0.005153,-0.003792,-0.001140,0.001506,0.003788,0.001206,0.000470,0.000537,0.385508,0.369681,0.377234,0.321435,0.228071,0.459035,0.490988,0.434192,0.007117,0.006881,0.006662,0.006582,0.006675,0.006888,0.007117,0.007218,-0.214659,-0.230506,-0.318744,-0.426680,-0.531355,-0.492284,-0.495248,-0.497861,-0.358505,-0.267414,-0.069781,0.143874,0.317541,0.115505,0.057009,0.065671,7.206408,8.835009,11.986866,8.233597,1.998878,12.169724,14.204521,13.970850,0.685396,0.664528,0.642198,0.631028,0.635993,0.654678,0.677776,0.691067,-3.664252,-3.792488,-6.533603,-9.930516,-12.417105,-11.136085,-11.318647,-11.948854,-11.637594,-10.412211,-5.483533,1.868009,7.291149,0.191443,-1.590827,-0.884555,-5.725018,-5.697001,-5.635039,-5.652603,-5.603003,-5.674094,-5.673219,-5.661532,0.056692,-0.345124,0.729852,0.602240,0.359890,0.646230,0.504159,0.313631,-23.529331,-23.478322,-23.463757,-23.704758,-23.447800,-23.820241,-23.911223,-24.024737,-16.071496,-16.004423,-15.881383,-15.963928,-15.809652,-16.053826,-16.085455,-16.092435,0.004167
0.006954,0.006280,0.005885,0.005255,0.004373,0.007580,0.007979,0.006909,-0.000726,-0.000387,0.000479,0.000460,-0.000240,-0.000674,-0.000800,-0.000381,-0.004331,-0.004614,-0.006118,-0.007986,-0.009920,-0.009189,-0.009196,-0.009158,-0.006616,-0.004881,-0.001417,0.002104,0.005110,0.001685,0.000712,0.000819,0.415533,0.406490,0.427180,0.355743,0.236398,0.509740,0.550172,0.492406,0.010058,0.009731,0.009414,0.009286,0.009401,0.009696,0.010026,0.010185,-0.229929,-0.246323,-0.345965,-0.468046,-0.583099,-0.538692,-0.542413,-0.547635,-0.406996,-0.310808,-0.092627,0.151663,0.347917,0.116297,0.050377,0.061992,6.400453,8.019430,11.387316,7.598352,1.390998,11.205837,13.351553,13.635866,0.832163,0.807419,0.779834,0.765045,0.769763,0.791827,0.820317,0.837718,-2.981299,-2.855237,-5.455733,-8.915940,-11.238688,-9.813064,-9.978806,-10.722536,-11.419564,-10.727300,-6.191663,1.269004,6.484841,-0.623801,-2.382089,-1.648060,-5.562372,-5.538658,-5.478505,-5.494317,-5.443805,-5.514006,-5.512207,-5.499851,0.105450,-0.294089,0.790472,0.677100,0.447592,0.729431,0.587470,0.396777,-22.805736,-22.752651,-22.744884,-22.990381,-22.716594,-23.064945,-23.146593,-23.270717,-15.596783,-15.536688,-15.418186,-15.499260,-15.339717,-15.575869,-15.603413,-15.612141,0.004167
0.008685,0.007972,0.007652,0.006722,0.005354,0.009683,0.010253,0.008945,-0.000778,-0.000396,0.000565,0.000539,-0.000234,-0.000718,-0.000859,-0.000399,-0.005248,-0.005600,-0.007519,-0.009894,-0.012316,-0.011390,-0.011411,-0.011388,-0.008275,-0.006145,-0.001784,0.002740,0.006563,0.002171,0.000931,0.001090,0.442201,0.439901,0.474627,0.387405,0.242192,0.556429,0.605802,0.549224,0.013609,0.013174,0.012737,0.012545,0.012682,0.013072,0.013527,0.013761,-0.242352,-0.258236,-0.368694,-0.505185,-0.629933,-0.579588,-0.583995,-0.592299,-0.454579,-0.355515,-0.118424,0.156957,0.374933,0.113692,0.040449,0.055132,5.731929,7.205293,10.808624,7.020335,0.885491,10.281069,12.527711,13.297173,0.979175,0.950838,0.917897,0.899088,0.903078,0.928227,0.962189,0.984112,-2.372086,-1.946198,-4.435167,-7.964206,-10.106418,-8.552880,-8.698304,-9.530305,-11.164845,-11.033986,-6.845386,0.725619,5.693125,-1.377637,-3.117626,-2.389743,-5.404927,-5.385990,-5.327229,-5.341005,-5.289588,-5.358930,-5.356396,-5.343754,0.155189,-0.241690,0.853589,0.755235,0.538579,0.815113,0.673165,0.482879,-22.111517,-22.052149,-22.051903,-22.301560,-22.010084,-22.334932,-22.407616,-22.541269,-15.138891,-15.085333,-14.970870,-15.049989,-14.884980,-15.113189,-15.137056,-15.147920,0.004167
0.010528,0.009804,0.009618,0.008322,0.006361,0.011981,0.012759,0.011217,-0.000815,-0.000392,0.000663,0.000629,-0.000215,-0.000748,-0.000905,-0.000404,-0.006211,-0.006629,-0.009008,-0.011950,-0.014901,-0.013756,-0.013792,-0.013798,-0.010128,-0.007590,-0.002252,0.003401,0.008132,0.002650,0.001112,0.001336,0.466083,0.469920,0.519663,0.416658,0.245880,0.599264,0.658000,0.604631,0.017769,0.017212,0.016634,0.016360,0.016515,0.017014,0.017616,0.017944,-0.252237,-0.266361,-0.387169,-0.538356,-0.672049,-0.615232,-0.620240,-0.631995,-0.501100,-0.401500,-0.146945,0.159987,0.398650,0.107947,0.027457,0.045183,5.185615,6.385136,10.263853,6.505513,0.455317,9.398322,11.739036,12.970877,1.123877,1.092346,1.054053,1.030852,1.033586,1.061410,1.100814,1.127630,-1.814761,-1.073017,-3.482040,-7.071905,-9.022929,-7.357170,-7.480861,-8.380957,-10.906706,-11.317462,-7.430819,0.232325,4.930808,-2.068774,-3.795334,-3.102882,-5.252979,-5.238991,-5.181091,-5.192633,-5.140337,-5.208878,-5.205835,-5.193257,0.205168,-0.188784,0.918198,0.835525,0.631557,0.901888,0.759840,0.570604,-21.445937,-21.377528,-21.385519,-21.637923,-21.327849,-21.630297,-21.694884,-21.837600,-14.698120,-14.650508,-14.539400,-14.615948,-14.445247,-14.665823,-14.686620,-14.700122,0.004167
0.012472,0.011762,0.011771,0.010044,0.007385,0.014458,0.015484,0.013720,-0.000835,-0.000370,0.000778,0.000734,-0.000181,-0.000762,-0.000934,-0.000394,-0.007211,-0.007688,-0.010569,-0.014139,-0.017658,-0.016267,-0.016320,-0.016368,-0.012172,-0.009222,-0.002836,0.004078,0.009803,0.003109,0.001244,0.001545,0.487690,0.496521,0.562429,0.443766,0.247776,0.638422,0.706911,0.658679,0.022528,0.021837,0.021094,0.020722,0.020890,0.021508,0.022279,0.022721,-0.259799,-0.270847,-0.401673,-0.567808,-0.709650,-0.645894,-0.651413,-0.666900,-0.546545,-0.448665,-0.177904,0.160963,0.419191,0.099322,0.011641,0.032263,4.740609,5.567154,9.753675,6.055016,0.083460,8.558176,10.990461,12.668546,1.264270,1.230039,1.186475,1.158538,1.159447,1.189448,1.234175,1.266227,-1.283122,-0.246879,-2.600925,-6.234138,-7.989565,-6.225537,-6.328338,-7.281798,-10.682924,-11.561835,-7.939165,-0.217449,4.207073,-2.698301,-4.415234,-3.780923,-5.106814,-5.097575,-5.040013,-5.049179,-4.996022,-5.063850,-5.060544,-5.048346,0.254804,-0.136101,0.983437,0.917007,0.725401,0.988578,0.846315,0.658830,-20.807782,-20.729760,-20.745983,-20.998998,-20.669536,-20.950985,-21.008767,-21.160645,-14.274628,-14.232309,-14.123689,-14.196954,-14.020325,-14.233746,-14.252233,-14.268968,0.004167
0.014507,0.013833,0.014103,0.011879,0.008418,0.017098,0.018412,0.016448,-0.000836,-0.000329,0.000910,0.000856,-0.000129,-0.000758,-0.000945,-0.000366,-0.008239,-0.008763,-0.012187,-0.016448,-0.020569,-0.018902,-0.018975,-0.019080,-0.014403,-0.011049,-0.003545,0.004761,0.011562,0.003534,0.001311,0.001702,0.507442,0.519714,0.603070,0.468998,0.248123,0.674079,0.752703,0.711467,0.027869,0.027032,0.026104,0.025613,0.025786,0.026531,0.027493,0.028072,-0.265145,-0.271892,-0.412505,-0.593769,-0.742945,-0.671841,-0.677783,-0.697225,-0.591058,-0.496849,-0.210981,0.160065,0.436717,0.088074,-0.006758,0.016518,4.369756,4.768403,9.274717,5.665417,-0.242237,7.760543,10.287319,12.398925,1.398853,1.362481,1.313779,1.280775,1.279260,1.310872,1.360745,1.398359,-0.754937,0.521433,-1.792557,-5.445383,-7.005936,-5.156428,-5.241053,-6.238120,-10.521507,-11.754726,-8.367427,-0.630879,3.525930,-3.268732,-4.978914,-4.418300,-4.966633,-4.961611,-4.903959,-4.910643,-4.856619,-4.923831,-4.920493,-4.908951,0.303645,-0.084246,1.048583,0.998847,0.819138,1.074184,0.931607,0.746623,-20.195654,-20.109679,-20.133297,-20.384358,-20.034888,-20.296858,-20.349367,-20.510865,-13.868363,-13.830732,-13.723647,-13.792878,-13.610078,-13.816881,-13.833868,-13.854451,0.004167
0.016625,0.016001,0.016605,0.013820,0.009454,0.019888,0.021532,0.019396,-0.000816,-0.000268,0.001063,0.000997,-0.000057,-0.000733,-0.000935,-0.000317,-0.009289,-0.009841,-0.013849,-0.018864,-0.023617,-0.021645,-0.021739,-0.021916,-0.016818,-0.013074,-0.004390,0.005441,0.013396,0.003914,0.001304,0.001796,0.525649,0.539578,0.641715,0.492606,0.247112,0.706412,0.795566,0.763132,0.033767,0.032775,0.031641,0.031010,0.031177,0.032056,0.033230,0.033969,-0.268289,-0.269735,-0.419968,-0.616442,-0.772141,-0.693333,-0.699622,-0.723200,-0.634897,-0.545837,-0.245842,0.157445,0.451405,0.074449,-0.027505,-0.001882,4.045407,4.007114,8.822873,5.330250,-0.531125,7.005031,9.634242,12.167568,1.526531,1.488628,1.434954,1.396557,1.391995,1.424605,1.479403,1.522896,-0.217048,1.224892,-1.055071,-4.700524,-6.070654,-4.147595,-4.217879,-5.252667,-10.434293,-11.890431,-8.717607,-1.014647,2.888050,-3.783420,-5.489047,-5.011283,-4.832504,-4.830966,-4.772912,-4.777049,-4.722117,-4.788782,-4.785606,-4.774951,0.351340,-0.033707,1.113031,1.080326,0.911922,1.157861,1.014905,0.833225,-19.608286,-19.517732,-19.547292,-19.793696,-19.423747,-19.667733,-19.716490,-19.888215,-13.479067,-13.445676,-13.339184,-13.403657,-13.214419,-13.415109,-13.431340,-13.456345,0.004167
